,thr,dist_pos,k_pos,n_pos,dist_neg,k_neg,n_neg
170,0.3599999999999997,0.0026752801446256413,10769,10976,0.0026147322476691368,5364,5492
171,0.3619999999999997,0.0013820550895005895,11038,11262,0.002388487110044668,5515,5645
172,0.3639999999999997,0.0010442605150754285,11230,11461,0.0019792740799463968,5682,5814
173,0.3659999999999997,0.0011488012647545849,11371,11604,0.0018256290371206033,5861,5996
174,0.3679999999999997,0.001115568515022065,11500,11736,0.0016467531098866446,5978,6115
175,0.3699999999999997,0.0014206233068059775,11783,12022,0.0013957601892841517,6106,6244
176,0.3719999999999997,0.00145609981845514,11992,12235,0.0009409310872200424,6264,6402
177,0.3739999999999997,0.0016996935900517993,12205,12450,0.0010393734512628976,6378,6520
178,0.3759999999999997,0.0019311986910471347,12408,12655,0.0009669085888480903,6531,6675
179,0.3779999999999997,0.00192383433977046,12551,12801,0.0008229312096858535,6671,6815
180,0.3799999999999997,0.001996816704552433,12733,12986,0.0008621683788000579,6825,6974
181,0.38199999999999973,0.002251430012780085,12906,13160,0.0008321802355553764,6987,7138
182,0.38399999999999973,0.0026903620795687235,13172,13427,0.0007928494669487373,7152,7307
183,0.38599999999999973,0.00046635207468536814,13576,13871,0.0012744682923612784,7336,7501
184,0.3879999999999997,0.000582724435958466,13767,14068,0.0008875716086287196,7492,7657
185,0.3899999999999997,0.0009727218041191523,13977,14287,0.0007722901773041113,7645,7813
186,0.3919999999999997,0.0006219550349111726,14200,14511,0.0008398741676791887,7816,7988
187,0.3939999999999997,0.0006773642885025238,14472,14789,0.0013022412399398998,8029,8210
188,0.3959999999999997,0.0008066004951609775,14673,14996,0.0014531068794969397,8205,8391
189,0.3979999999999997,0.0009749996110522554,14876,15206,0.0012883533504495872,8366,8555
